autossh - 1.4g-4
kmod-crypto-aead - 5.15.137-1
kmod-crypto-cbc - 5.15.137-1
kmod-crypto-crc32c - 5.15.137-1
kmod-crypto-hash - 5.15.137-1
kmod-crypto-hmac - 5.15.137-1
kmod-crypto-manager - 5.15.137-1
kmod-crypto-null - 5.15.137-1
kmod-crypto-rng - 5.15.137-1
kmod-crypto-sha1 - 5.15.137-1
kmod-crypto-sha256 - 5.15.137-1
kmod-crypto-sha512 - 5.15.137-1
kmod-dax - 5.15.137-1
kmod-dm - 5.15.137-1
kmod-e1000 - 5.15.137-1
kmod-e1000e - 5.15.137-1
kmod-forcedeth - 5.15.137-1
kmod-fs-btrfs - 5.15.137-1
kmod-fs-exfat - 5.15.137-1
kmod-fs-exportfs - 5.15.137-1
kmod-fs-vfat - 5.15.137-1
kmod-fs-xfs - 5.15.137-1
kmod-hwmon-core - 5.15.137-1
kmod-i2c-algo-bit - 5.15.137-1
kmod-i2c-core - 5.15.137-1
kmod-igb - 5.15.137-1
kmod-igc - 5.15.137-1
kmod-input-core - 5.15.137-1
kmod-ip6tables - 5.15.137-1
kmod-ipt-conntrack - 5.15.137-1
kmod-ipt-core - 5.15.137-1
kmod-ipt-extra - 5.15.137-1
kmod-ipt-nat - 5.15.137-1
kmod-ipt-nat6 - 5.15.137-1
kmod-ipt-physdev - 5.15.137-1
kmod-ixgbe - 5.15.137-1
kmod-keys-encrypted - 5.15.137-1
kmod-keys-trusted - 5.15.137-1
kmod-lib-crc-ccitt - 5.15.137-1
kmod-lib-crc32c - 5.15.137-1
kmod-lib-lzo - 5.15.137-1
kmod-lib-raid6 - 5.15.137-1
kmod-lib-xor - 5.15.137-1
kmod-lib-zlib-deflate - 5.15.137-1
kmod-lib-zlib-inflate - 5.15.137-1
kmod-lib-zstd - 5.15.137-1
kmod-libphy - 5.15.137-1
kmod-mdio - 5.15.137-1
kmod-mdio-devres - 5.15.137-1
kmod-mii - 5.15.137-1
kmod-netlink-diag - 5.15.137-1
kmod-nf-conntrack - 5.15.137-1
kmod-nf-conntrack-netlink - 5.15.137-1
kmod-nf-conntrack6 - 5.15.137-1
kmod-nf-flow - 5.15.137-1
kmod-nf-ipt - 5.15.137-1
kmod-nf-ipt6 - 5.15.137-1
kmod-nf-ipvs - 5.15.137-1
kmod-nf-log - 5.15.137-1
kmod-nf-log6 - 5.15.137-1
kmod-nf-nat - 5.15.137-1
kmod-nf-nat6 - 5.15.137-1
kmod-nf-reject - 5.15.137-1
kmod-nf-reject6 - 5.15.137-1
kmod-nfnetlink - 5.15.137-1
kmod-nft-core - 5.15.137-1
kmod-nft-fib - 5.15.137-1
kmod-nft-nat - 5.15.137-1
kmod-nft-offload - 5.15.137-1
kmod-nls-base - 5.15.137-1
kmod-nls-cp437 - 5.15.137-1
kmod-nls-iso8859-1 - 5.15.137-1
kmod-nls-utf8 - 5.15.137-1
kmod-oid-registry - 5.15.137-1
kmod-phy-realtek - 5.15.137-1
kmod-ppp - 5.15.137-1
kmod-pppoe - 5.15.137-1
kmod-pppox - 5.15.137-1
kmod-pps - 5.15.137-1
kmod-ptp - 5.15.137-1
kmod-r8169 - 5.15.137-1
kmod-random-core - 5.15.137-1
kmod-sched-act-vlan - 5.15.137-1
kmod-sched-bpf - 5.15.137-1
kmod-sched-core - 5.15.137-1
kmod-sched-flower - 5.15.137-1
kmod-slhc - 5.15.137-1
kmod-tg3 - 5.15.137-1
kmod-tpm - 5.15.137-1
kmod-tun - 5.15.137-1
kmod-veth - 5.15.137-1
libaio - 0.3.113-2
libatomic1 - 12.3.0-4
libattr - 2.5.1-1
libblkid1 - 2.39-2
libblobmsg-json20230523 - 2023-05-23-75a3b870-1
libbpf1 - 1.2.2-1
libbz2-1.0 - 1.0.8-1
libc - 1.2.4-4
libcap - 2.69-1
libcares - 1.27.0-1
libcbor0 - 0.8.0-1
libcomerr0 - 1.47.0-2
libcurl4 - 8.7.1-r1
libdevmapper - 1.02.197
libelf1 - 0.189-1
libestr - 0.1.11-3
libevdev - 1.13.0-1
libevent2-core7 - 2.1.12-1
libext2fs2 - 1.47.0-2
libf2fs6 - 1.16.0-1
libfastjson - 0.99.8-1
libfdisk1 - 2.39-2
libfido2-1 - 1.12.0-1
libgcc1 - 12.3.0-4
libinih - r58-1
libip4tc2 - 1.8.8-2
libip6tc2 - 1.8.8-2
libiptext0 - 1.8.8-2
libiptext6-0 - 1.8.8-2
libiwinfo-data - 2023-07-01-ca79f641-1
libiwinfo20230701 - 2023-07-01-ca79f641-1
libjson-c5 - 0.16-3
libjson-script20230523 - 2023-05-23-75a3b870-1
liblua5.1.5 - 5.1.5-11
liblua5.3-5.3 - 5.3.5-5
liblucihttp-lua - 2023-03-15-9b5b683f-1
liblucihttp-ucode - 2023-03-15-9b5b683f-1
liblucihttp0 - 2023-03-15-9b5b683f-1
liblzma - 5.4.6-1
liblzo2 - 2.10-4
libmagic - 5.44-1
libmbedtls12 - 2.28.7-2
libminiupnpc - 2.2.3-1
libmnl0 - 1.0.5-1
libmosquitto-ssl - 2.0.18-2
libmount1 - 2.39-2
libnatpmp1 - 20150609-3
libncurses6 - 6.4-2
libnewt - 0.52.23-1
libnftnl11 - 1.2.6-1
libnghttp2-14 - 1.57.0-1
libnl-core200 - 3.7.0-1
libnl-route200 - 3.7.0-1
libnl-tiny1 - 2023-07-27-bc92a280-1
libopenssl3 - 3.0.13-1
libpam - 1.5.2-1
libparted - 3.6-1
libpcap1 - 1.10.4-1
libpcre - 8.45-5
libpopt0 - 1.19-1
libpthread - 1.2.4-4
libpython3-3.11 - 3.11.7-1
libreadline8 - 8.2-1
librt - 1.2.4-4
libseccomp - 2.5.4-2
libslang2 - 2.3.3-2
libsmartcols1 - 2.39-2
libss2 - 1.47.0-2
libssh2-1 - 1.10.0-1
libstdcpp6 - 12.3.0-4
libtirpc - 1.3.3-1
libubox20230523 - 2023-05-23-75a3b870-1
libubus-lua - 2023-06-05-f787c97b-1
libubus20230605 - 2023-06-05-f787c97b-1
libuci20130104 - 2023-08-10-5781664d-1
libuclient20201210 - 2023-04-13-007d9454-1
libucode20230711 - 2023-11-07-a6e75e02-1
libudev-zero - 1.0.1-1
liburcu - 0.14.0-1
libustream-mbedtls20201210 - 2023-02-25-498f6e26-1
libuuid1 - 2.39-2
libuv1 - 1.48.0-1
libwebsockets-full - 4.3.2-2
libxtables12 - 1.8.8-2
losetup - 2.39-2
lsblk - 2.39-2
lsof - 4.94.0-1
lua - 5.1.5-11
luci - git-23.051.66410-a505bb1
luci-app-dockerman - v0.5.13-20240317
luci-app-firewall - git-24.067.01746-69867db
luci-app-opkg - git-24.148.43905-2891ca4
luci-base - git-24.086.45142-09d5a38
luci-compat - git-24.086.45108-51aee90
luci-lib-base - git-22.308.54612-9118452
luci-lib-docker - git-23.338.81439-6bcdaaf
luci-lib-ip - git-23.311.79290-c2a887e
luci-lib-jsonc - git-23.298.74571-62eb535
luci-lib-nixio - git-24.034.54875-21210dc
luci-light - git-23.024.33244-34dee82
luci-lua-runtime - git-23.233.52805-dae2684
luci-mod-admin-full - git-19.253.48496-3f93650
luci-mod-network - git-24.111.76511-ff6b275
luci-mod-status - git-24.141.29354-5cfe7a7
luci-mod-system - git-24.067.01860-7a82b2f
luci-proto-ipv6 - git-24.086.45108-51aee90
luci-proto-ppp - git-24.135.44542-f1ec9c2
luci-ssl - git-23.035.26083-7550ad6
luci-theme-bootstrap - git-24.086.46634-1ffe078
lvm2 - 2.03.23-1
mkf2fs - 1.16.0-1
mosquitto-client-ssl - 2.0.18-2
mtd - 26
netcat - 0.7.1-2
netifd - 2024-01-04-c18cc79d-2
nftables-json - 1.0.8-1
nmap-full - 7.93-3
odhcp6c - 2023-05-12-bcd28363-20
odhcpd-ipv6only - 2023-10-24-d8118f6e-1
openssh-client - 9.7p1-1
openssh-client-utils - 9.7p1-1
openssh-keygen - 9.7p1-1
openssh-server - 9.7p1-1
openssh-sftp-client - 9.7p1-1
openssh-sftp-server - 9.7p1-1
openwrt-keyring - 2022-03-25-62471e69-2
opkg - 2022-02-24-d038e5b6-2
parted - 3.6-1
partx-utils - 2.39-2
ppp - 2.4.9.git-2021-01-04-4
ppp-mod-pppoe - 2.4.9.git-2021-01-04-4
procd - 2023-06-25-2db83655-2
procd-seccomp - 2023-06-25-2db83655-2
procd-ujail - 2023-06-25-2db83655-2
procps-ng - 3.3.16-3
procps-ng-ps - 3.3.16-3
procps-ng-watch - 3.3.16-3
px5g-mbedtls - 10
python3-base - 3.11.7-1
python3-light - 3.11.7-1
python3-newt - 0.52.23-1
r8169-firmware - 20230804-1
resize2fs - 1.47.0-2
rpcd - 2023-07-01-c07ab2f9-1
rpcd-mod-file - 2023-07-01-c07ab2f9-1
rpcd-mod-iwinfo - 2023-07-01-c07ab2f9-1
rpcd-mod-luci - 20240305-1
rpcd-mod-rrdns - 20170710
rpcd-mod-ucode - 2023-07-01-c07ab2f9-1
rsync - 3.2.7-1
rsyslog - 8.2110.0-1
runc - 1.1.12-1
ss - 6.3.0-1
sshtunnel - 4-5
tcpdump - 4.99.4-1
terminfo - 6.4-2
tini - 0.19.0-2
tmux - 3.3a-1
ttyd - 1.7.3-1
tune2fs - 1.47.0-2
ubox - 2022-08-13-4c7b720b-2
ubus - 2023-06-05-f787c97b-1
ubusd - 2023-06-05-f787c97b-1
uci - 2023-08-10-5781664d-1
uclient-fetch - 2023-04-13-007d9454-1
ucode - 2023-11-07-a6e75e02-1
ucode-mod-fs - 2023-11-07-a6e75e02-1
ucode-mod-html - 1
ucode-mod-lua - 1
ucode-mod-math - 2023-11-07-a6e75e02-1
ucode-mod-ubus - 2023-11-07-a6e75e02-1
ucode-mod-uci - 2023-11-07-a6e75e02-1
uhttpd - 2023-06-25-34a8a74d-2
uhttpd-mod-ubus - 2023-06-25-34a8a74d-2
unzip - 6.0-8
urandom-seed - 3
urngd - 2023-11-01-44365eb1-1
usign - 2020-05-23-f1f65026-1
vim-full - 9.0-1
xfs-mkfs - 6.2.0-1
xtables-legacy - 1.8.8-2
xz - 5.4.6-1
xz-utils - 5.4.6-1
zerotier - 1.12.2-2
zlib - 1.2.13-1
zoneinfo-africa - 2023c-2
zoneinfo-all - 2023c-2
zoneinfo-america - 2023c-2
zoneinfo-asia - 2023c-2
zoneinfo-atlantic - 2023c-2
zoneinfo-australia-nz - 2023c-2
zoneinfo-core - 2023c-2
zoneinfo-europe - 2023c-2
zoneinfo-indian - 2023c-2
zoneinfo-pacific - 2023c-2
zoneinfo-poles - 2023c-2
